,buggy_source_code,fixed_source_code,check1,check2
5015,"@java.lang.Override
public void onPageSelected(int position) {
    int dialogResource = (position == 0) ? R.string.info_note_list_r : R.string.info_image_grid_r;
    com.example.diegoinsua.uibestpracticesexample.fragment.InfoDialogFragment infoDialogFragment = com.example.diegoinsua.uibestpracticesexample.fragment.InfoDialogFragment.newInstance(dialogResource);
    infoDialogFragment.show(getFragmentManager(), ""Info dialog"");
}","@java.lang.Override
public void onPageSelected(int position) {
}",-2,-2
720,"private void initGameFragment() {
    init();
    secret = createSecret();
    android.util.Log.e(""GameFragment"", (""createSecret - "" + (secret.getValue())));
    stan.bulls.cows.db.SQliteApi.clearGameTemp();
}","private void initGameFragment() {
    init();
    stan.bulls.cows.db.SQliteApi.clearGameTemp();
}",-2,-2
2667,"@java.lang.Override
public boolean hasNext() {
    return ((consumed) < (limit)) && (iterator.hasNext());
}","@java.lang.Override
public boolean hasNext() {
    return ((this.consumed) < (this.limit)) && (this.iterator.hasNext());
}",2,2
2563,"@java.lang.Override
public boolean isActive() {
    java.util.concurrent.locks.Lock l = this.hashlock.readLock();
    l.lock();
    try {
        return this.active;
    } finally {
        l.unlock();
    }
}","@java.lang.Override
public boolean isActive() {
    synchronized(this) {
        return this.active;
    }
}",-2,-2
4978,"@java.lang.Override
public void write(byte[] b) throws java.io.IOException {
    out.write(new java.lang.String(b, this.charset));
    flush();
}","@java.lang.Override
public void write(byte[] b) throws java.io.IOException {
    write(b, 0, b.length);
}",-2,-2
101,"public void flush() {
    dataset.commit();
    dataset.close();
}","public void flush() {
}",-2,-2
5265,"@java.lang.Override
public void onCreate() {
    final long identityToken = android.os.Binder.clearCallingIdentity();
    data = getContentResolver().query(QuoteProvider.Quotes.CONTENT_URI, null, null, null, null);
    android.os.Binder.restoreCallingIdentity(identityToken);
}","@java.lang.Override
public void onCreate() {
}",-2,-2
4217,"public int getDimension() {
    if ((length) == 0)
        throw new java.lang.RuntimeException(""Zero-dimensional parameter!"");
    
    return length;
}","public int getDimension() {
    return length;
}",-2,-2
3668,"private static void initializeData() {
    asw.persistence.FillDatabase.initializeUsers();
    asw.persistence.FillDatabase.initializeProposals();
    asw.persistence.FillDatabase.initializeComments();
}","private void initializeData() {
    initializeUsers();
    initializeProposals();
    initializeComments();
}",-2,-1
3809,"public void addToUserList(com.example.austin.inthemood.User user) {
    userList.add(user);
    userCount += 1;
}","public void addToUserList(com.example.austin.inthemood.User user) {
    this.userList.add(user);
    this.userCount += 1;
}",1,2
353,"@java.lang.Override
public byte[] innerToBytes() {
    java.nio.ByteBuffer b;
    byte[] ba = this.clientAddress.getAddress();
    b = java.nio.ByteBuffer.allocate(ba.length);
    b.put(ba);
    return b.array();
}","@java.lang.Override
public byte[] innerToBytes() {
    return null;
}",-2,-2
2594,"public void act() {
    getImage().setTransparency(0);
}","public void act() {
}",-2,-2
2993,"private void syscallExit() {
    sos.SOS.debugPrintln((((""Removing process with id "" + (m_currProcess.getProcessId())) + "" at "") + (m_CPU.getBASE())));
    m_processes.remove(m_currProcess);
    scheduleNewProcess();
}","private void syscallExit() {
    m_processes.remove(m_currProcess);
    scheduleNewProcess();
}",-2,-2
60,"private void println(java.lang.String s) {
    java.lang.System.out.println(((((self_id) + "" : "") + ""  |  "") + s));
}","private void println(java.lang.String s) {
}",-1,-2
3934,"public boolean dateAnswer(com.rr.rgem.gem.models.ConversationNode.AnswerNode answer, java.lang.String response) {
    getState().setState(JSONState.State.Correct);
    getState().sendChallenges(activity, (""You gave the date: "" + response));
    return true;
}","public boolean dateAnswer(com.rr.rgem.gem.models.ConversationNode.AnswerNode answer, java.lang.String response) {
    return true;
}",-2,-2
5415,"public void addMacrosForExpansion(java.lang.String name, de.fosd.typechef.featureexpr.FeatureExpr feature, de.fosd.typechef.lexer.MacroData m) throws de.fosd.typechef.lexer.LexerException {
    addMacro(name, feature, m);
    macrosForExpansion = macrosForExpansion.define(name, feature, m);
}","private void addMacrosForExpansion(java.lang.String name, de.fosd.typechef.featureexpr.FeatureExpr feature, de.fosd.typechef.lexer.MacroData m) throws de.fosd.typechef.lexer.LexerException {
    macrosForExpansion = addMacro(name, feature, m, macrosForExpansion);
}",-1,-2
5443,"public void clear() {
    tweens.clear();
    previousValue = currentValue = startValue = 0.0F;
    currentElement = 0;
    repeat = false;
    enable = true;
    currentTween = new libGame.tween.type.ValueTween(startValue);
    tweens.add(currentTween);
}","public void setValue(float f) {
    previousValue = currentValue = f;
}",-2,-2
3131,"private static void stopTimer() {
    i5.las2peer.webConnector.serviceManagement.ServiceRepositoryManager.timer.cancel();
    i5.las2peer.webConnector.serviceManagement.ServiceRepositoryManager.timerRunning = false;
}","private static void stopTimer() {
    if ((i5.las2peer.webConnector.serviceManagement.ServiceRepositoryManager.timer) != null) {
        i5.las2peer.webConnector.serviceManagement.ServiceRepositoryManager.timer.cancel();
    }
    i5.las2peer.webConnector.serviceManagement.ServiceRepositoryManager.timer = null;
}",1,2
4051,"public void toggle() {
    checkBox.setChecked((!(checkBox.isChecked())));
}","public boolean isChecked() {
    return checkBox.isChecked();
}",-2,-2
1657,"@org.junit.Test
public void testGetConvNodeId() throws java.lang.Exception {
    conversionTable.addEntryNode(""NetworkId"", ""NodeId"", ""FederatedNetworkId"", ""NetworkId_NodeId"");
    java.lang.String result = target.getConvNodeId(""NetworkId"", ""NodeId"");
    org.junit.Assert.assertThat(result, org.hamcrest.CoreMatchers.is(""FederatedNetworkId::NetworkId_NodeId""));
}","@org.junit.Test
public void testGetConvNodeId() throws java.lang.Exception {
}",-2,-2
5723,"protected void loadCargo() {
    java.lang.System.out.println((""Loading cargo in "" + (getVehicleType)));
}","protected void loadCargo() {
}",-2,-2
14,"@java.lang.Override
public void onConnectionFailed(@android.support.annotation.NonNull
com.google.android.gms.common.ConnectionResult result) {
    if ((mSignInProgress) != (com.texocoyotl.ptd2googlelogin.MainActivity.STATE_IN_PROGRESS)) {
        mSignInIntent = result.getResolution();
        if ((mSignInProgress) == (com.texocoyotl.ptd2googlelogin.MainActivity.STATE_SIGNING_IN)) {
            resolveSignInError();
        }
    }
    onSignedOut();
}","@java.lang.Override
public void onConnectionFailed(@android.support.annotation.NonNull
com.google.android.gms.common.ConnectionResult result) {
}",-2,-2
268,"@java.lang.Override
protected void onStop() {
    com.app.game.quizee.backend.PlayerManager.getInstance().saveCurrentPlayer();
    super.onStop();
    stopService(new android.content.Intent(this, com.app.game.quizee.backend.MusicService.class));
    com.app.game.quizee.backend.PlayerManager.getInstance().onStop();
}","@java.lang.Override
protected void onStop() {
    com.app.game.quizee.backend.PlayerManager.getInstance().saveCurrentPlayer();
    super.onStop();
    com.app.game.quizee.backend.PlayerManager.getInstance().onStop();
}",-2,-2
21,"@java.lang.Override
public boolean hasNext() {
    return (index) < (length);
}","@java.lang.Override
public boolean hasNext() {
    return (this.index) < (this.length);
}",2,2
1861,"public void onTick(long millisUntilFinished) {
    remainingClickTime -= 50;
    gameTimeAndScore.updateTimeBar(remainingClickTime);
    if ((remainingClickTime) <= 0) {
        gameover = true;
    }
    startedTimer = true;
}","public void onTick(long millisUntilFinished) {
}",-1,-2
3962,"static void stop() {
    sGui.stopThread();
    com.ds2016.Main.Main.stopThread();
    java.lang.System.out.println((((""stop(): sTotalThroughput: "" + (sTotalThroughput)) + "" sTotalSuccess: "") + (sTotalSuccess)));
}","static void stop() {
    sGui.stopThread();
    com.ds2016.Main.Main.stopThread();
}",-2,-2
2571,"public void setFieldValue(rfid.service.RFIDService.getTransportInfo_args._Fields field, java.lang.Object value) {
    switch (field) {
        case APPLY_DOC_CODE :
            if (value == null) {
                unsetApplyDocCode();
            }else {
                setApplyDocCode(((java.lang.String) (value)));
            }
            break;
    }
}","public void setFieldValue(rfid.service.RFIDService.getTransportInfo_args._Fields field, java.lang.Object value) {
    switch (field) {
    }
}",-2,-2
5698,"public Ponto2D somaPonto(double dx, double dy) {
    return new Ponto2D(((x) + dx), ((y) + dy));
}","public Ponto2D somaPonto(double dx, double dy) {
    return new Ponto2D((x += dx), (y += dy));
}",2,2
584,"@java.lang.Override
public void onRefresh() {
    android.widget.Toast.makeText(activity, ""refreshed!"", Toast.LENGTH_SHORT).show();
    refreshPingList();
}","@java.lang.Override
public void onRefresh() {
    refreshPingList();
}",-2,-2
4354,"void loginWithFacebook(java.lang.String firstname, java.lang.String lastname, java.lang.String email);",void loginWithFacebook();,-2,-2
1830,"public static void recordAndAlignTask(android.webkit.WebView userWeb) {
    com.sw551.fairfield.healthcheq.withings.WithingsAuthorization.bindingWeb = userWeb;
}","public static void recordAndAlignTask() {
}",-2,-2
1707,"public long getElapsedTime() {
    return (elapsedTime) + (stopWatch.getTime());
}","public long getElapsedTime() {
    return elapsedTime;
}",-2,-1
4408,"public static com.badlogic.gdx.math.Quaternion idt() {
    return new com.badlogic.gdx.math.Quaternion(0, 0, 0, 1);
}","public com.badlogic.gdx.math.Quaternion idt() {
    this.set(0, 0, 0, 1);
    return this;
}",-2,-1
3837,"@java.lang.Override
public void createSketch() {
    processing.core.PApplet sketch = new devel.android_everything_test.WallpaperSketch();
    java.lang.System.out.println((""created sketch "" + sketch));
    setSketch(sketch);
}","@java.lang.Override
public processing.core.PApplet createSketch() {
    processing.core.PApplet sketch = new devel.android_everything_test.WallpaperSketch();
    return sketch;
}",-2,-2
3172,"public void enterTicket(parkinggaragetwopointoh.Ticket t) {
    java.lang.System.out.println(getTicketElapsedTime(t));
    java.lang.System.out.println(getParkingCost(getTicketElapsedTime(t)));
    java.lang.System.out.println(totalGrossed);
}","public void enterTicket(parkinggaragetwopointoh.Ticket t) {
    getParkingCost(getTicketElapsedTime(t));
}",-2,-2
4038,"private boolean IsContainSurface(java.util.List<java.lang.String> TargetList, java.lang.String SurfaceID) {
    for (java.lang.String target : TargetList) {
        if (SurfaceID.equals(target))
            return true;
        
    }
    return false;
}","private boolean IsContainSurface(java.util.List<java.lang.String> TargetList, java.lang.String SurfaceID) {
    return TargetList.contains(SurfaceID);
}",-2,-2
3050,"@java.lang.Override
public void onStatusChanged(java.lang.String provider, int status, android.os.Bundle extras) {
    android.widget.Toast t = android.widget.Toast.makeText(getApplicationContext(), java.lang.Integer.toString(status), Toast.LENGTH_SHORT);
    t.show();
}","@java.lang.Override
public void onStatusChanged(java.lang.String provider, int status, android.os.Bundle extras) {
}",-2,-2
