,buggy-org,buggy,fixed-org,fixed,check1,check2
5371,"public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.CharSequence VAR_2 ) { METHOD_2 ( VAR_2 . toString ( ) . replaceAll ( STRING_1 , STRING_2 ) ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.CharSequence VAR_2 ) { METHOD_2 ( VAR_2 . toString ( ) . replaceAll ( STRING_1 , STRING_2 ) ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.CharSequence VAR_2 ) { METHOD_2 ( VAR_2 . toString ( ) . replaceAll ( STRING_1 , STRING_2 ) . toUpperCase ( ) ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.CharSequence VAR_2 ) { METHOD_2 ( VAR_2 . toString ( ) . replaceAll ( STRING_1 , STRING_2 ) . METHOD_2 ( ) ) ; } 
",0,0
153,"public int METHOD_1 ( int t ) { int VAR_1 = 0 ; VAR_1 = ( this . VAR_2 ) - ( t - ( this . VAR_2 ) ) ; return VAR_1 ; } 
","public int METHOD_1 ( int t ) { int VAR_1 = 0 ; VAR_1 = ( this . VAR_2 ) - ( t - ( this . VAR_2 ) ) ; return VAR_1 ; } 
","public int METHOD_1 ( int t ) { int VAR_1 = 0 ; VAR_1 = ( this . x ) - ( t - ( this . x ) ) ; return VAR_1 ; } 
","public int METHOD_1 ( int t ) { int VAR_1 = 0 ; VAR_1 = ( this . VAR_2 ) - ( t - ( this . VAR_2 ) ) ; return VAR_1 ; } 
",-2,-2
2344,"public static void main ( java.lang.String [ ] args ) { for ( int i = 0 ; i < INT_1 ; i ++ ) { VAR_1 . METHOD_1 ( STRING_1 ) ; } } 
","public static void main ( java.lang.String [ ] args ) { for ( int i = 0 ; i < INT_1 ; i ++ ) { VAR_1 . METHOD_1 ( STRING_1 ) ; } } 
","public static void main ( java.lang.String [ ] args ) { for ( int i = 0 ; i < INT_1 ; i ++ ) { java.lang.System.out.println ( STRING_1 ) ; } } 
","public static void main ( java.lang.String [ ] args ) { for ( int i = 0 ; i < INT_1 ; i ++ ) { java.lang.System.out.METHOD_1 ( STRING_1 ) ; } } 
",0,0
1386,"public java.lang.String METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . remove ( id ) ; return STRING_1 ; } 
","public java.lang.String METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . remove ( id ) ; return STRING_1 ; } 
","public java.lang.String METHOD_1 ( java.lang.Long id ) { VAR_2 . remove ( id ) ; return STRING_1 ; } 
","public java.lang.String METHOD_1 ( java.lang.Long VAR_1 ) { VAR_2 . remove ( id ) ; return STRING_1 ; } 
",-2,-2
96,"private void METHOD_1 ( ) { TYPE_1 = new TYPE_2 ( this . VAR_1 ) ; VAR_2 = new TYPE_3 < java.lang.Void > ( TYPE_1 , null ) ; VAR_2 . METHOD_2 ( ) ; } 
","private void METHOD_1 ( ) { TYPE_1 = new TYPE_2 ( this . VAR_1 ) ; VAR_2 = new TYPE_3 < java.lang.Void > ( TYPE_1 , null ) ; VAR_2 . METHOD_2 ( ) ; } 
","private void METHOD_1 ( ) { TYPE_1 = new TYPE_2 ( this . VAR_1 ) ; TYPE_1 . start ( ) ; } 
","private void METHOD_1 ( ) { TYPE_1 = new TYPE_2 ( this . VAR_1 ) ; TYPE_1 . METHOD_2 ( ) ; } 
",-2,-2
1966,"public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; VAR_2 = TYPE_2 . METHOD_3 ( VAR_3 ) . METHOD_4 ( true ) . build ( ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; VAR_2 = TYPE_2 . METHOD_3 ( VAR_3 ) . METHOD_4 ( true ) . build ( ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; VAR_2 = TYPE_2 . METHOD_3 ( VAR_3 ) . build ( ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; VAR_2 = TYPE_2 . METHOD_3 ( VAR_3 ) . METHOD_4 ( ) ; } 
",-1,-1
5302,"public java.lang.String toString ( ) { return TYPE_1 . toString ( value ) ; } 
","public java.lang.String toString ( ) { return TYPE_1 . toString ( value ) ; } 
","public java.lang.String toString ( ) { return value . toString ( ) ; } 
","public java.lang.String toString ( ) { return TYPE_1 . toString ( ) ; } 
",-2,-2
4114,"public TYPE_1 METHOD_1 ( int position ) { return VAR_1 . METHOD_1 ( position ) ; } 
","public TYPE_1 METHOD_1 ( int position ) { return VAR_1 . METHOD_1 ( position ) ; } 
","public TYPE_1 METHOD_1 ( int position ) { return list . get ( position ) ; } 
","public TYPE_1 METHOD_1 ( int position ) { return VAR_1 .METHOD_1t ( position ) ; } 
",-2,-2
1088,"public void METHOD_1 ( ) { TYPE_1 . assertEquals ( TYPE_2 . METHOD_2 ( VAR_1 ) , true ) ; TYPE_1 . METHOD_3 ( TYPE_2 . METHOD_2 ( VAR_2 ) , false ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . assertEquals ( TYPE_2 . METHOD_2 ( VAR_1 ) , true ) ; TYPE_1 . METHOD_3 ( TYPE_2 . METHOD_2 ( VAR_2 ) , false ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . assertEquals ( TYPE_2 . METHOD_2 ( VAR_1 ) , true ) ; TYPE_1 . assertEquals ( TYPE_2 . METHOD_2 ( VAR_2 ) , false ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . assertEquals ( TYPE_2 . METHOD_2 ( VAR_1 ) , true ) ; TYPE_1 . METHOD_3 ( TYPE_2 . METHOD_2 ( VAR_2 ) , false ) ; } 
",-2,-2
1184,"public void METHOD_1 ( TYPE_1 c ) { if ( ( VAR_1 ) != null ) c . METHOD_2 ( ) ; VAR_1 = c ; METHOD_3 ( ) ; } 
","public void METHOD_1 ( TYPE_1 c ) { if ( ( VAR_1 ) != null ) VAR_1 . METHOD_2 ( ) ; VAR_1 = c ; METHOD_3 ( ) ; } 
","public void METHOD_1 ( TYPE_1 c ) { if ( ( VAR_1 ) != null ) VAR_1 . METHOD_2 ( ) ; VAR_1 = c ; METHOD_3 ( ) ; } 
","public void METHOD_1 ( TYPE_1 c ) { if ( ( VAR_1 ) != null ) VAR_1 . METHOD_2 ( ) ; VAR_1 = c ; METHOD_3 ( ) ; } 
",-2,-2
3035,"public TYPE_1 METHOD_1 ( ) { int size = VAR_1 . size ( ) ; if ( size < INT_1 ) return null ; return VAR_1 . METHOD_2 ( ( size - INT_1 ) ) ; } 
","public TYPE_1 METHOD_1 ( ) { int size = VAR_1 . size ( ) ; if ( size < INT_1 ) return null ; return VAR_1 . METHOD_2 ( ( size - INT_1 ) ) ; } 
","public TYPE_1 METHOD_1 ( ) { int size = VAR_1 . size ( ) ; if ( size < INT_1 ) return null ; return VAR_1 . get ( ( size - INT_1 ) ) ; } 
","public TYPE_1 METHOD_1 ( ) { int size = VAR_1 . size ( ) ; if ( size < INT_1 ) return null ; return VAR_1 . METHOD_2 ( ( size - INT_1 ) ) ; } 
",-2,-2
84,"public void METHOD_1 ( ) { VAR_1 . get ( ) . METHOD_2 ( VAR_2 ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( ) . METHOD_2 ( VAR_2 ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( VAR_2 ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( VAR_2 ) ; } 
",-2,-2
3939,"public java.lang.String METHOD_1 ( int VAR_1 ) throws TYPE_1 ; 
","public java.lang.String METHOD_1 ( int VAR_1 ) throws TYPE_1 ; 
","public java.lang.String METHOD_1 ( int id ) throws TYPE_1 ; 
","public java.lang.String METHOD_1 ( int VAR_1 ) throws TYPE_1 ; 
",-2,-2
753,"public void METHOD_1 ( java.lang.String value ) { VAR_1 . setText ( STRING_1 ) ; } 
","public void METHOD_1 ( java.lang.String value ) { VAR_1 . setText ( STRING_1 ) ; } 
","public void METHOD_1 ( java.lang.String value ) { VAR_1 . setText ( value ) ; } 
","public void METHOD_1 ( java.lang.String value ) { VAR_1 . setText ( STRING_1 ) ; } 
",-2,-2
3969,"private TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_3 ) { if ( VAR_1 . METHOD_2 ( VAR_2 . METHOD_3 ( ) ) ) { return VAR_2 ; } else { continue ; } } return null ; } 
","private TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_3 ) { if ( VAR_1 . METHOD_2 ( VAR_2 . METHOD_3 ( ) ) ) { return VAR_2 ; } else { continue ; } } return null ; } 
","private TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_3 ) { if ( VAR_1 . METHOD_2 ( VAR_2 . getName ( ) ) ) { return VAR_2 ; } else { continue ; } } return null ; } 
","private TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_3 ) { if ( VAR_1 . METHOD_2 ( VAR_2 . METHOD_3 ( ) ) ) { return VAR_2 ; } else { continue ; } } return null ; } 
",-2,-2
4967,"public void METHOD_1 ( ) { java.util.ArrayList VAR_1 = VAR_2 . METHOD_2 ( ) ; VAR_2 . METHOD_3 ( STRING_1 ) . METHOD_4 ( true ) ; TYPE_1 . assertEquals ( VAR_2 . METHOD_5 ( VAR_2 . METHOD_3 ( STRING_1 ) ) , STRING_2 ) ; } 
","public void METHOD_1 ( ) { java.util.ArrayList VAR_1 = VAR_2 . METHOD_2 ( ) ; VAR_2 . METHOD_3 ( STRING_1 ) . METHOD_4 ( true ) ; TYPE_1 . assertEquals ( VAR_2 . METHOD_5 ( VAR_2 . METHOD_3 ( STRING_1 ) ) , STRING_2 ) ; } 
","public void METHOD_1 ( ) { java.util.ArrayList VAR_1 = VAR_2 . METHOD_2 ( ) ; VAR_2 . METHOD_3 ( STRING_1 ) . METHOD_4 ( true ) ; TYPE_1 . assertEquals ( VAR_2 . METHOD_5 ( STRING_1 ) , STRING_2 ) ; } 
","public void METHOD_1 ( ) { java.util.ArrayList VAR_1 = VAR_2 . METHOD_2 ( ) ; VAR_2 . METHOD_3 ( STRING_1 ) . METHOD_4 ( true ) ; TYPE_1 . METHOD_5 ( VAR_2 . METHOD_5 ( STRING_1 ) , STRING_2 ) ; } 
",2,2
2318,"public void start ( ) { for ( java.lang.Thread p : VAR_1 ) { java.lang.System.out.println ( ( ( STRING_1 + ( p . toString ( ) ) ) + STRING_2 ) ) ; p . METHOD_1 ( ) ; } } 
","public void start ( ) { for ( java.lang.Thread p : VAR_1 ) { java.lang.System.out.println ( ( ( STRING_1 + ( p . toString ( ) ) ) + STRING_2 ) ) ; p . METHOD_1 ( ) ; } } 
","public void start ( ) { for ( java.lang.Thread p : VAR_1 ) { java.lang.System.out.println ( ( ( STRING_1 + ( p . toString ( ) ) ) + STRING_2 ) ) ; p . start ( ) ; } } 
","public void start ( ) { for ( java.lang.Thread p : VAR_1 ) { java.lang.System.out.println ( ( ( STRING_1 + ( p . toString ( ) ) ) + STRING_2 ) ) ; p . METHOD_1 ( ) ; } } 
",-2,-2
3165,"private void METHOD_1 ( TYPE_1 < ? > VAR_1 , TYPE_1 < java.lang.Integer > VAR_2 , TYPE_1 < TYPE_2 > VAR_3 , TYPE_1 < ? extends TYPE_2 > VAR_4 , TYPE_3 VAR_5 ) { } 
","private void METHOD_1 ( TYPE_1 < ? > VAR_1 , TYPE_1 < java.lang.Integer > VAR_2 , TYPE_1 < TYPE_2 > VAR_3 , TYPE_1 < ? extends TYPE_2 > VAR_4 , TYPE_3 VAR_5 ) { } 
","private void handle ( TYPE_1 < ? > VAR_1 , TYPE_1 < java.lang.Integer > VAR_2 , TYPE_1 < TYPE_2 > VAR_3 , TYPE_1 < ? extends TYPE_2 > VAR_4 , TYPE_3 VAR_5 ) { } 
","private void METHOD_1 ( TYPE_1 < ? > VAR_1 , TYPE_1 < java.lang.Integer > VAR_2 , TYPE_1 < TYPE_2 > VAR_3 , TYPE_1 < ? extends TYPE_2 > VAR_4 , TYPE_3 VAR_5 ) { } 
",-2,-2
2482,"public void start ( ) throws java.io.IOException { VAR_1 . set ( true ) ; VAR_2 . start ( ) ; if ( ( VAR_3 ) != null ) { VAR_3 . METHOD_1 ( ) ; } } 
","public void start ( ) throws java.io.IOException { VAR_1 . set ( true ) ; VAR_2 . start ( ) ; if ( ( VAR_3 ) != null ) { VAR_3 . METHOD_1 ( ) ; } } 
","public void start ( ) throws java.io.IOException { VAR_1 . set ( true ) ; VAR_2 . start ( ) ; if ( ( VAR_3 ) != null ) { VAR_3 . start ( ) ; } } 
","public void start ( ) throws java.io.IOException { VAR_1 . set ( true ) ; VAR_2 . start ( ) ; if ( ( VAR_3 ) != null ) { VAR_3 . METHOD_1 ( ) ; } } 
",-2,-2
4586,"public synchronized java.util.Set < TYPE_1 > METHOD_1 ( ) { return new java.util.HashSet ( VAR_1 . METHOD_2 ( ) ) ; } 
","public synchronized java.util.Set < TYPE_1 > METHOD_1 ( ) { return new java.util.HashSet ( VAR_1 . METHOD_2 ( ) ) ; } 
","public synchronized java.util.List < TYPE_1 > nodes ( ) { return new java.util.ArrayList ( VAR_1 . METHOD_2 ( ) ) ; } 
","public synchronized java.util.List < TYPE_1 > METHOD_1 ( ) { return new java.util.ArrayList ( VAR_1 . METHOD_2 ( ) ) ; } 
",-2,-2
4772,"public void METHOD_1 ( ) { for ( int VAR_1 = 0 ; VAR_1 < ( VAR_2 ) ; ++ VAR_1 ) { METHOD_2 ( VAR_1 ) ; } } 
","public void METHOD_1 ( ) { for ( int VAR_1 = 0 ; VAR_1 < ( VAR_2 ) ; ++ VAR_1 ) { METHOD_2 ( VAR_1 ) ; } } 
","public void METHOD_1 ( ) { for ( int line = 0 ; line < ( VAR_2 ) ; ++ line ) { METHOD_2 ( line ) ; } } 
","public void METHOD_1 ( ) { for ( int VAR_1 = 0 ;VAR_1e < ( VAR_2 ) ; ++VAR_1e ) { METHOD_2 ( VAR_1 ) ; } } 
",-2,-2
