id,buggy,fixed,buggy_source_code,fixed_source_code,operations,signature,check1,check2
6488,"public void METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { VAR_2 . info ( VAR_1 . toString ( ) ) ; java.lang.System.out.println ( ( STRING_1 + ( VAR_1 . toString ( ) ) ) ) ; VAR_3 . METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { VAR_2 . info ( VAR_1 . toString ( ) ) ; VAR_2 . info ( ( STRING_1 + ( VAR_1 . toString ( ) ) ) ) ; VAR_3 . METHOD_2 ( VAR_1 ) ; } 
","@org.springframework.web.bind.annotation.RequestMapping(value = ""/register"", method = org.springframework.web.bind.annotation.RequestMethod.POST)
public void registProductPOST(web.portfolio.domain.ProductVO vo) throws java.lang.Exception {
    web.portfolio.controller.MainController.logger.info(vo.toString());
    java.lang.System.out.println((""vo.toString() : "" + (vo.toString())));
    prod_service.createProduct(vo);
}","@org.springframework.web.bind.annotation.RequestMapping(value = ""/register"", method = org.springframework.web.bind.annotation.RequestMethod.POST)
public void registProductPOST(web.portfolio.domain.ProductVO vo) throws java.lang.Exception {
    web.portfolio.controller.MainController.logger.info(vo.toString());
    web.portfolio.controller.MainController.logger.info((""vo.toString() : "" + (vo.toString())));
    prod_service.createProduct(vo);
}","Update Invocation at Block
Update FieldRead at Invocation
Update TypeAccess at FieldRead
","void registProductPOST(web.portfolio.domain.ProductVO)
void registProductPOST(web.portfolio.domain.ProductVO)",-2,-2
32839,"public void METHOD_1 ( ) { TYPE_1 VAR_1 = new TYPE_1 ( ) ; java.lang.String VAR_2 = VAR_1 . METHOD_2 ( ) ; assertEquals ( STRING_1 , STRING_2 , VAR_2 ) ; } 
","public void METHOD_1 ( ) { VAR_2 = VAR_1 . METHOD_2 ( ) ; assertEquals ( STRING_1 , STRING_2 , VAR_2 ) ; } 
","@jdk.nashorn.internal.ir.annotations.Ignore
public void testTennisGame_Start() {
    TennisGame game = new TennisGame();
    java.lang.String score = game.getScore();
    assertEquals(""Initial score incorrect"", ""love - love"", score);
}","@org.junit.Test
public void testTennisGame_Start() {
    score = game.getScore();
    assertEquals(""Initial score incorrect"", ""love - love"", score);
}","Insert Assignment at Block
Insert FieldWrite at Assignment
Insert Invocation at Assignment
Insert ThisAccess at Invocation
Insert FieldRead at Invocation
Insert ThisAccess at FieldWrite
Insert FieldRead at Invocation
Insert TypeAccess at ThisAccess
Insert ThisAccess at FieldRead
Insert TypeAccess at ThisAccess
Insert ThisAccess at FieldRead
Insert TypeAccess at ThisAccess
Insert TypeAccess at ThisAccess
Delete LocalVariable at Block
Delete VariableRead at Invocation
","void testTennisGame_Start()
void testTennisGame_Start()",-2,-2
3964,"public void METHOD_1 ( ) { this . VAR_1 . start ( ) ; this . METHOD_2 ( ( ( this ) == null ? ( this ) != null : null ) ) ; } 
","public void METHOD_1 ( ) { this . VAR_1 . start ( ) ; this . METHOD_2 ( ( ( this ) == null ? ( this ) != null : ! ( ! ( ! true ) ) ) ) ; } 
","public void runLoop() {
    this.myStateManipulation.start();
    this.loopLoop(((this) == null ? (this) != null : null));
}","public void runLoop() {
    this.myStateManipulation.start();
    this.loopLoop(((this) == null ? (this) != null : !(!(!true))));
}","Insert UnaryOperator at Conditional
Insert UnaryOperator at UnaryOperator
Insert UnaryOperator at UnaryOperator
Insert Literal at UnaryOperator
Delete Literal at Conditional
","void runLoop()
void runLoop()",-2,-2
33043,"public static void METHOD_1 ( int [ ] VAR_1 , int [ ] VAR_2 ) { } 
","public static int [ ] METHOD_1 ( int [ ] VAR_1 , int [ ] VAR_2 ) { return null ; } 
","public static void compute(int[] A, int[] B) {
}","public static int[] compute(int[] A, int[] B) {
    return null;
}","Insert Return at Block
Insert Literal at Return
","void compute(int[],int[])
int[] compute(int[],int[])",-2,-2
45078,"public java.util.List < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 { return this . VAR_2 . METHOD_2 ( VAR_1 ) ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 { if ( ( VAR_2 ) == null ) { return null ; } return this . VAR_2 . METHOD_2 ( VAR_1 ) ; } 
","public java.util.List<com.dianping.codereview.svn.Resource> getChildren(com.dianping.codereview.svn.Resource dir) throws org.tmatesoft.svn.core.SVNException {
    return this.root.findChildren(dir);
}","public java.util.List<com.dianping.codereview.svn.Resource> getChildren(com.dianping.codereview.svn.Resource dir) throws org.tmatesoft.svn.core.SVNException {
    if ((root) == null) {
        return null;
    }
    return this.root.findChildren(dir);
}","Insert If at Block
Insert BinaryOperator at If
Insert Block at If
Insert FieldRead at BinaryOperator
Insert Literal at BinaryOperator
Insert Return at Block
Insert ThisAccess at FieldRead
Insert Literal at Return
Insert TypeAccess at ThisAccess
","java.util.List getChildren(com.dianping.codereview.svn.Resource)
java.util.List getChildren(com.dianping.codereview.svn.Resource)",-2,-2
22672,"public java.util.List < TYPE_1 > METHOD_1 ( java.lang.String VAR_1 ) throws java.lang.Exception { return ( VAR_1 == null ) || ( VAR_1 . isEmpty ( ) ) ? VAR_2 : VAR_3 . METHOD_2 ( VAR_1 ) ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( java.lang.String VAR_1 ) throws java.lang.Exception { return null ; } 
","@java.lang.Override
public java.util.List<com.softserve.osbb.model.Contract> getAllContractsBySearchTerm(java.lang.String searchTerm) throws java.lang.Exception {
    return (searchTerm == null) || (searchTerm.isEmpty()) ? com.softserve.osbb.service.impl.ContractServiceImpl.EMPTY_LIST : contractRepository.getAllContractsBySearchParam(searchTerm);
}","@java.lang.Override
public java.util.List<com.softserve.osbb.model.Contract> getAllContractsBySearchTerm(java.lang.String searchTerm) throws java.lang.Exception {
    return null;
}","Insert Literal at Return
Delete VariableRead at BinaryOperator
Delete Literal at BinaryOperator
Delete BinaryOperator at BinaryOperator
Delete VariableRead at Invocation
Delete Invocation at BinaryOperator
Delete BinaryOperator at Conditional
Delete TypeAccess at FieldRead
Delete FieldRead at Conditional
Delete TypeAccess at ThisAccess
Delete ThisAccess at FieldRead
Delete FieldRead at Invocation
Delete VariableRead at Invocation
Delete Invocation at Conditional
Delete Conditional at Return
","java.util.List getAllContractsBySearchTerm(java.lang.String)
java.util.List getAllContractsBySearchTerm(java.lang.String)",-2,-2
30912,"public byte [ ] METHOD_1 ( ) { java.lang.String VAR_1 = VAR_2 . METHOD_2 ( VAR_3 ) ; return VAR_1 . METHOD_3 ( ) ; } 
","public byte [ ] METHOD_1 ( ) { if ( VAR_3 . isEmpty ( ) ) { return null ; } java.lang.String VAR_1 = VAR_2 . METHOD_2 ( VAR_3 ) ; return VAR_1 . METHOD_3 ( ) ; } 
","public byte[] toBytes() {
    java.lang.String metadataString = org.apache.rya.api.domain.StatementMetadata.gson.toJson(metadataMap);
    return metadataString.getBytes();
}","public byte[] toBytes() {
    if (metadataMap.isEmpty()) {
        return null;
    }
    java.lang.String metadataString = org.apache.rya.api.domain.StatementMetadata.gson.toJson(metadataMap);
    return metadataString.getBytes();
}","Insert If at Block
Insert Invocation at If
Insert Block at If
Insert FieldRead at Invocation
Insert Return at Block
Insert ThisAccess at FieldRead
Insert Literal at Return
Insert TypeAccess at ThisAccess
","byte[] toBytes()
byte[] toBytes()",-2,-2
14163,"private static void METHOD_1 ( java.lang.String VAR_1 , java.lang.String fileName , int VAR_2 ) { try { } catch ( java.lang.Exception VAR_3 ) { java.lang.System.out.println ( STRING_1 ) ; VAR_3 . METHOD_2 ( ) ; } } 
","private static byte [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String fileName , int VAR_2 ) { try { } catch ( java.lang.Exception VAR_3 ) { java.lang.System.out.println ( STRING_1 ) ; VAR_3 . METHOD_2 ( ) ; } return null ; } 
","private static void askForFilePiece(java.lang.String peerName, java.lang.String fileName, int piece) {
    try {
    } catch (java.lang.Exception e) {
        java.lang.System.out.println(""Exception"");
        e.printStackTrace();
    }
}","private static byte[] askForFilePiece(java.lang.String peerName, java.lang.String fileName, int piece) {
    try {
    } catch (java.lang.Exception e) {
        java.lang.System.out.println(""Exception"");
        e.printStackTrace();
    }
    return null;
}","Insert Return at Block
Insert Literal at Return
","void askForFilePiece(java.lang.String,java.lang.String,int)
byte[] askForFilePiece(java.lang.String,java.lang.String,int)",-2,-2
41315,"public java.lang.String [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 , java.lang.String VAR_4 ) throws TYPE_1 { java.lang.String VAR_5 = TYPE_2 . METHOD_2 ( ) . METHOD_3 ( VAR_1 , VAR_2 , VAR_3 ) ; return VAR_6 . METHOD_1 ( VAR_5 , VAR_4 ) ; } 
","public java.lang.String [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 , java.lang.String VAR_4 ) throws TYPE_1 { java.lang.String VAR_5 = TYPE_2 . METHOD_2 ( ) . METHOD_3 ( VAR_1 , VAR_2 , VAR_3 ) ; return null ; } 
","public java.lang.String[] getTagNamesOfPersistedArtifacts(java.lang.String applicationId, java.lang.String version, java.lang.String revision, java.lang.String tenantDomain) throws org.wso2.carbon.appfactory.common.AppFactoryException {
    java.lang.String jobName = org.wso2.carbon.appfactory.core.internal.ServiceHolder.getContinuousIntegrationSystemDriver().getJobName(applicationId, version, revision);
    return connector.getTagNamesOfPersistedArtifacts(jobName, tenantDomain);
}","public java.lang.String[] getTagNamesOfPersistedArtifacts(java.lang.String applicationId, java.lang.String version, java.lang.String revision, java.lang.String tenantDomain) throws org.wso2.carbon.appfactory.common.AppFactoryException {
    java.lang.String jobName = org.wso2.carbon.appfactory.core.internal.ServiceHolder.getContinuousIntegrationSystemDriver().getJobName(applicationId, version, revision);
    return null;
}","Insert Literal at Return
Delete TypeAccess at ThisAccess
Delete ThisAccess at FieldRead
Delete FieldRead at Invocation
Delete VariableRead at Invocation
Delete VariableRead at Invocation
Delete Invocation at Return
","java.lang.String[] getTagNamesOfPersistedArtifacts(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
java.lang.String[] getTagNamesOfPersistedArtifacts(java.lang.String,java.lang.String,java.lang.String,java.lang.String)",-2,-2
26569,"public static java.util.List < TYPE_1 > METHOD_1 ( java.lang.String VAR_1 ) { return new TYPE_2 ( VAR_1 , new TYPE_3 ( ) ) . METHOD_2 ( ) ; } 
","public static java.util.List < TYPE_1 > METHOD_1 ( java.lang.String VAR_1 ) { if ( VAR_1 == null ) { return null ; } return new TYPE_2 ( VAR_1 , new TYPE_3 ( ) ) . METHOD_2 ( ) ; } 
","public static java.util.List<com.quollwriter.text.Word> getAsWords(java.lang.String l) {
    return new com.quollwriter.text.Sentence(l, new com.quollwriter.text.DialogueInd()).getWords();
}","public static java.util.List<com.quollwriter.text.Word> getAsWords(java.lang.String l) {
    if (l == null) {
        return null;
    }
    return new com.quollwriter.text.Sentence(l, new com.quollwriter.text.DialogueInd()).getWords();
}","Insert If at Block
Insert BinaryOperator at If
Insert Block at If
Insert VariableRead at BinaryOperator
Insert Literal at BinaryOperator
Insert Return at Block
Insert Literal at Return
","java.util.List getAsWords(java.lang.String)
java.util.List getAsWords(java.lang.String)",-2,-2
