,buggy,fixed,buggy-org,fixed-org,buggy_source_code,fixed_source_code,operations,signature,is_filtered,check1,check2
10051,"public static int METHOD_1 ( double VAR_1 ) { return ( ( int ) ( java.lang.Math.round ( ( ( java.lang.Math.abs ( VAR_1 ) ) * ( VAR_2 ) ) ) ) ) ; } 
","public static int METHOD_1 ( double VAR_1 ) { return ( ( int ) ( java.lang.Math.abs ( java.lang.Math.round ( ( ( java.lang.Math.abs ( VAR_1 ) ) * ( VAR_2 ) ) ) ) ) ) ; } 
","public static int METHOD_1 ( double VAR_1 ) { return ( ( int ) ( java.lang.Math.round ( ( ( java.lang.Math.abs ( VAR_1 ) ) * ( VAR_2 ) ) ) ) ) ; } 
","public static int METHOD_1 ( double VAR_1 ) { return ( ( int ) ( java.lang.Math.abs ( java.lang.Math.round ( ( ( java.lang.Math.abs ( VAR_1 ) ) * ( VAR_2 ) ) ) ) ) ) ; } 
","public static int degreeToTick(double degrees) {
    return ((int) (java.lang.Math.round(((java.lang.Math.abs(degrees)) * (org.usfirst.frc.team4161.robot.ConversionFactor.ticksToDegree)))));
}","public static int degreeToTick(double degrees) {
    return ((int) (java.lang.Math.abs(java.lang.Math.round(((java.lang.Math.abs(degrees)) * (org.usfirst.frc.team4161.robot.ConversionFactor.ticksToDegree))))));
}","Insert Invocation at Return
Insert TypeAccess at Invocation
Move Invocation from Return to CtInvocationImpl
","int degreeToTick(double)
int degreeToTick(double)",0,2,1
10070,"public void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { VAR_4 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } 
","public void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { if ( ( VAR_4 ) != null ) { VAR_4 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } } 
","public void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { VAR_4 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } 
","public void METHOD_1 ( int VAR_1 , int VAR_2 , int VAR_3 ) { if ( ( VAR_4 ) != null ) { VAR_4 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } } 
","public void setTolerance(int hue, int sat, int val) {
    mFloodDetector.setColorRadius(hue, sat, val);
}","public void setTolerance(int hue, int sat, int val) {
    if ((mFloodDetector) != null) {
        mFloodDetector.setColorRadius(hue, sat, val);
    }
}","Insert Block at Method
Insert If at Block
Insert BinaryOperator at If
Move Block from Method to CtBlockImpl
Insert FieldRead at BinaryOperator
Insert Literal at BinaryOperator
Insert ThisAccess at FieldRead
Insert TypeAccess at ThisAccess
","void setTolerance(int,int,int)
void setTolerance(int,int,int)",0,2,2
10232,"public android.view.View METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { VAR_4 = TYPE_4 . METHOD_2 ( VAR_1 , VAR_5 , VAR_2 , false ) ; return VAR_1 . METHOD_2 ( VAR_5 , VAR_2 , false ) ; } 
","public android.view.View METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { return VAR_1 . METHOD_2 ( VAR_5 , VAR_2 , false ) ; } 
","public android.view.View METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { VAR_4 = TYPE_4 . METHOD_2 ( VAR_1 , VAR_5 , VAR_2 , false ) ; return VAR_1 . METHOD_2 ( VAR_5 , VAR_2 , false ) ; } 
","public android.view.View METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { return VAR_1 . METHOD_2 ( VAR_5 , VAR_2 , false ) ; } 
","@java.lang.Override
public android.view.View onCreateView(android.view.LayoutInflater inflater, android.view.ViewGroup container, android.os.Bundle savedInstanceState) {
    signUpBinding = android.databinding.DataBindingUtil.inflate(inflater, R.layout.fragment_sign_up, container, false);
    return inflater.inflate(R.layout.fragment_sign_up, container, false);
}","@java.lang.Override
public android.view.View onCreateView(android.view.LayoutInflater inflater, android.view.ViewGroup container, android.os.Bundle savedInstanceState) {
    return inflater.inflate(R.layout.fragment_sign_up, container, false);
}","Delete TypeAccess at Invocation
Delete VariableRead at Invocation
Delete TypeAccess at Invocation
Delete VariableRead at Invocation
Delete Literal at Invocation
Delete Invocation at Assignment
Delete Assignment at Block
","android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)
android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)",0,2,2
10499,"public boolean METHOD_1 ( ) { return open ; } 
","public boolean METHOD_1 ( ) { return open ; } 
","public boolean METHOD_1 ( ) { return open ; } 
","public boolean open ( ) { return open ; } 
","public boolean getOpen() {
    return open;
}","public boolean open() {
    return open;
}","Update Method at Class
","boolean getOpen()
boolean open()",0,1,2
10596,"private boolean METHOD_1 ( ) { final boolean result = TYPE_1 . METHOD_2 ( VAR_1 ) ; return result ; } 
","private boolean METHOD_1 ( ) { final boolean result = ! ( TYPE_1 . METHOD_2 ( VAR_1 ) ) ; return result ; } 
","private boolean METHOD_1 ( ) { final boolean result = TYPE_1 . METHOD_2 ( VAR_1 ) ; return result ; } 
","private boolean METHOD_1 ( ) { final boolean result = ! ( TYPE_1 . METHOD_2 ( VAR_1 ) ) ; return result ; } 
","private boolean hasCustomInvalidMessage() {
    final boolean result = org.spine3.validate.Validate.isDefault(ifInvalidOption);
    return result;
}","private boolean hasCustomInvalidMessage() {
    final boolean result = !(org.spine3.validate.Validate.isDefault(ifInvalidOption));
    return result;
}","Insert UnaryOperator at LocalVariable
Move Invocation from LocalVariable to CtInvocationImpl
","boolean hasCustomInvalidMessage()
boolean hasCustomInvalidMessage()",0,2,2
10601,"public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { try { VAR_1 . METHOD_2 ( message . getClass ( ) ) . handle ( VAR_1 , message ) ; } catch ( java.lang.Throwable t ) { t . METHOD_3 ( ) ; } return this ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { VAR_1 . METHOD_2 ( message . getClass ( ) ) . handle ( VAR_1 , message ) ; return this ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { try { VAR_1 . METHOD_2 ( message . getClass ( ) ) . handle ( VAR_1 , message ) ; } catch ( java.lang.Throwable t ) { t . METHOD_3 ( ) ; } return this ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { VAR_1 . METHOD_2 ( message . getClass ( ) ) . handle ( VAR_1 , message ) ; return this ; } 
","@java.lang.Override
public com.wincom.dcim.agentd.statemachine.State enter(com.wincom.dcim.agentd.primitives.HandlerContext ctx) {
    try {
        ctx.getHandler(message.getClass()).handle(ctx, message);
    } catch (java.lang.Throwable t) {
        t.printStackTrace();
    }
    return this;
}","@java.lang.Override
public com.wincom.dcim.agentd.statemachine.State enter(com.wincom.dcim.agentd.primitives.HandlerContext ctx) {
    ctx.getHandler(message.getClass()).handle(ctx, message);
    return this;
}","Move Block from Try to CtBlockImpl
Move Return from Block to CtReturnImpl
Delete CatchVariable at Catch
Delete VariableRead at Invocation
Delete Invocation at Block
Delete Block at Catch
Delete Catch at Try
Delete Try at Block
Delete Block at Method
","com.wincom.dcim.agentd.statemachine.State enter(com.wincom.dcim.agentd.primitives.HandlerContext)
com.wincom.dcim.agentd.statemachine.State enter(com.wincom.dcim.agentd.primitives.HandlerContext)",0,2,2
10648,"public static int METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 { TYPE_3 VAR_2 = TYPE_4 . METHOD_2 ( VAR_1 ) ; return VAR_2 . METHOD_1 ( INT_1 ) ; } 
","public static int METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 { TYPE_3 VAR_2 = TYPE_4 . METHOD_2 ( VAR_1 ) ; return VAR_2 . METHOD_1 ( ) ; } 
","public static int METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 { TYPE_3 VAR_2 = TYPE_4 . METHOD_2 ( VAR_1 ) ; return VAR_2 . METHOD_1 ( INT_1 ) ; } 
","public static int METHOD_1 ( TYPE_1 VAR_1 ) throws TYPE_2 { TYPE_3 VAR_2 = TYPE_4 . METHOD_2 ( VAR_1 ) ; return VAR_2 . METHOD_1 ( ) ; } 
","@java.lang.SuppressWarnings(value = ""deprecation"")
public static int pingDatabase(java.sql.Connection conn) throws java.sql.SQLException {
    oracle.jdbc.OracleConnection oracleConn = com.alibaba.druid.util.OracleUtils.unwrap(conn);
    return oracleConn.pingDatabase(1000);
}","public static int pingDatabase(java.sql.Connection conn) throws java.sql.SQLException {
    oracle.jdbc.OracleConnection oracleConn = com.alibaba.druid.util.OracleUtils.unwrap(conn);
    return oracleConn.pingDatabase();
}","Update Invocation at Return
Delete Literal at Annotation
Delete Annotation at Method
Delete Literal at Invocation
","int pingDatabase(java.sql.Connection)
int pingDatabase(java.sql.Connection)",0,2,2
10750,"public void METHOD_1 ( ) { if ( TYPE_1 . METHOD_2 ( ) ) return ; else if ( TYPE_2 . METHOD_2 ( ) ) return ; else { super . METHOD_1 ( ) ; } } 
","public void METHOD_1 ( ) { if ( TYPE_1 . METHOD_2 ( ) ) return ; else { super . METHOD_1 ( ) ; } } 
","public void METHOD_1 ( ) { if ( TYPE_1 . METHOD_2 ( ) ) return ; else if ( TYPE_2 . METHOD_2 ( ) ) return ; else { super . METHOD_1 ( ) ; } } 
","public void METHOD_1 ( ) { if ( TYPE_1 . METHOD_2 ( ) ) return ; else { super . METHOD_1 ( ) ; } } 
","@java.lang.Override
public void onBackPressed() {
    if (fm.jiecao.jcvideoplayer_lib.JCVideoPlayerStandard.backPress())
        return ;
    else
        if (fm.jiecao.jcvideoplayer_lib.PlayerTwo.JCVideoPlayerStandardTwo.backPress())
            return ;
        else {
            super.onBackPressed();
        }
    
}","@java.lang.Override
public void onBackPressed() {
    if (fm.jiecao.jcvideoplayer_lib.JCVideoPlayerStandard.backPress())
        return ;
    else {
        super.onBackPressed();
    }
}","Move Block from If to CtBlockImpl
Delete TypeAccess at Invocation
Delete Invocation at If
Delete Return at Block
Delete Block at If
Delete If at Block
Delete Block at If
","void onBackPressed()
void onBackPressed()",1,-1,-2
10767,"public TYPE_1 METHOD_1 ( ) { VAR_1 = new TYPE_2 ( ) ; if ( ( VAR_2 ) == null ) return new TYPE_3 ( ) ; return VAR_1 . METHOD_2 ( VAR_3 , VAR_2 ) ; } 
","public TYPE_1 METHOD_1 ( ) { VAR_1 = new TYPE_2 ( ) ; return VAR_1 . METHOD_2 ( VAR_3 , VAR_2 ) ; } 
","public TYPE_1 METHOD_1 ( ) { VAR_1 = new TYPE_2 ( ) ; if ( ( VAR_2 ) == null ) return new TYPE_3 ( ) ; return VAR_1 . METHOD_2 ( VAR_3 , VAR_2 ) ; } 
","public TYPE_1 METHOD_1 ( ) { VAR_1 = new TYPE_2 ( ) ; return VAR_1 . METHOD_2 ( VAR_3 , VAR_2 ) ; } 
","@java.lang.Override
public javax.swing.JComponent createComponent() {
    myPanel = new org.jetbrains.plugins.terminal.TerminalSettingsPanel();
    if ((myProjectOptionsProvider) == null)
        return new javax.swing.JPanel();
    
    return myPanel.createPanel(myOptionsProvider, myProjectOptionsProvider);
}","@java.lang.Override
public javax.swing.JComponent createComponent() {
    myPanel = new org.jetbrains.plugins.terminal.TerminalSettingsPanel();
    return myPanel.createPanel(myOptionsProvider, myProjectOptionsProvider);
}","Delete TypeAccess at ThisAccess
Delete ThisAccess at FieldRead
Delete FieldRead at BinaryOperator
Delete Literal at BinaryOperator
Delete BinaryOperator at If
Delete ConstructorCall at Return
Delete Return at Block
Delete Block at If
Delete If at Block
","javax.swing.JComponent createComponent()
javax.swing.JComponent createComponent()",0,2,2
10973,"private void METHOD_1 ( java.lang.String VAR_1 ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; if ( VAR_1 != null ) { intent . METHOD_2 ( VAR_3 , VAR_1 ) ; } METHOD_3 ( intent ) ; } 
","private void METHOD_1 ( java.lang.Long VAR_1 ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; if ( VAR_1 != null ) { intent . METHOD_2 ( VAR_3 , VAR_1 ) ; } METHOD_3 ( intent ) ; } 
","private void METHOD_1 ( java.lang.String VAR_1 ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; if ( VAR_1 != null ) { intent . METHOD_2 ( VAR_3 , VAR_1 ) ; } METHOD_3 ( intent ) ; } 
","private void METHOD_1 ( java.lang.Long VAR_1 ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; if ( VAR_1 != null ) { intent . METHOD_2 ( VAR_3 , VAR_1 ) ; } METHOD_3 ( intent ) ; } 
","private void onCollectionClicked(java.lang.String collectionId) {
    android.content.Intent intent = new android.content.Intent(this, com.shopify.sample.activity.ProductListActivity.class);
    if (collectionId != null) {
        intent.putExtra(ProductListActivity.EXTRA_COLLECTION_ID, collectionId);
    }
    startActivity(intent);
}","private void onCollectionClicked(java.lang.Long collectionId) {
    android.content.Intent intent = new android.content.Intent(this, com.shopify.sample.activity.ProductListActivity.class);
    if (collectionId != null) {
        intent.putExtra(ProductListActivity.EXTRA_COLLECTION_ID, collectionId);
    }
    startActivity(intent);
}","Update Invocation at Block
","void onCollectionClicked(java.lang.String)
void onCollectionClicked(java.lang.Long)",0,2,2
