id,buggy_source_code,fixed_source_code,check1,check2
36439,"@java.lang.Override
public void draw(java.awt.Graphics g) {
    super.draw(g);
    g.setColor(new java.awt.Color(255, 0, 0));
    for (edu.virginia.engine.display.DisplayObject child : getChildren()) {
        drawHitBox(g, child);
    }
}","@java.lang.Override
public void draw(java.awt.Graphics g) {
    super.draw(g);
}",-2,-1
15381,"public double perplexity(java.util.ArrayList<java.lang.String> sentences, int n) {
    return java.lang.Math.pow((1 / (probabilityOfDocument(sentences, n))), (1.0 / n));
}","public double perplexity(java.util.ArrayList<java.lang.String> sentences, int n) {
    return ((probabilityOfDocument(sentences, n)) * (-1.0)) / n;
}",-1,-2
18152,"@java.lang.Override
public de.factoryfx.factory.LiveCycleController<de.factoryfx.javafx.util.LongRunningActionExecutor, V> createLifecycleController() {
    return new de.factoryfx.factory.LiveCycleController<de.factoryfx.javafx.util.LongRunningActionExecutor, V>() {
        @java.lang.Override
        public de.factoryfx.javafx.util.LongRunningActionExecutor create() {
            return null;
        }
    };
}","@java.lang.Override
public de.factoryfx.factory.LiveCycleController<de.factoryfx.javafx.util.LongRunningActionExecutor, V> createLifecycleController() {
    return () -> new de.factoryfx.javafx.util.LongRunningActionExecutor();
}",-1,-2
16567,"@lombok.Synchronized
public static final void setLocale(final java.util.Locale locale) {
    if ((locale.getLanguage()) != (com.heliosphere.athena.base.resource.bundle.ResourceBundleManager.locale.getLanguage())) {
        com.heliosphere.athena.base.resource.bundle.ResourceBundleManager.refresh(locale);
    }
}","@lombok.Synchronized
public static final void setLocale(final java.util.Locale locale) {
    if (!(locale.getLanguage().equals(com.heliosphere.athena.base.resource.bundle.ResourceBundleManager.locale.getLanguage()))) {
        com.heliosphere.athena.base.resource.bundle.ResourceBundleManager.refresh(locale);
    }
}",1,2
36515,"public synchronized org.sonarlint.eclipse.core.internal.tracking.IssueTracker get(java.lang.String moduleKey) {
    org.sonarlint.eclipse.core.internal.tracking.IssueTracker tracker = registry.get(moduleKey);
    if (tracker == null) {
        registry.put(moduleKey, newTracker(moduleKey));
    }
    return tracker;
}","public synchronized org.sonarlint.eclipse.core.internal.tracking.IssueTracker get(java.lang.String moduleKey) {
    org.sonarlint.eclipse.core.internal.tracking.IssueTracker tracker = registry.get(moduleKey);
    if (tracker == null) {
        tracker = newTracker(moduleKey);
        registry.put(moduleKey, tracker);
    }
    return tracker;
}",-1,1
8638,"public void deleteNote(com.example.krysztian.ascribe.model.Note noteToDelete) {
    int index = notes.indexOf(noteToDelete);
    notes.remove(noteToDelete);
    notifyItemRemoved(index);
}","public void deleteNote(com.example.krysztian.ascribe.model.Note noteToDelete) {
    int index = notes.indexOf(noteToDelete);
    if (index != (-1)) {
        notes.remove(noteToDelete);
        notifyItemRemoved(index);
    }
}",1,1
30225,"public static java.lang.String getDefaultSkin(java.lang.String targetName) {
    com.android.sdklib.IAndroidTarget target = com.motorola.studio.android.adt.SdkUtils.getTargetByName(targetName);
    return target != null ? target.getDefaultSkin() : ""HVGA"";
}","public static java.lang.String getDefaultSkin(java.lang.String targetName) {
    com.android.sdklib.IAndroidTarget target = com.motorola.studio.android.adt.SdkUtils.getTargetByName(targetName);
    target.getDefaultSkin().getName();
    return target != null ? target.getDefaultSkin().getName() : ""HVGA"";
}",-2,-2
13826,"@java.lang.Override
protected void execute() {
    if (((this.timer.getFPGATimestamp()) - (this.initialTime)) < (org.usfirst.frc.team4611.robot.RobotMap.soleTime)) {
        Robot.feedSolenoid.feed(Value.kReverse);
    }else {
        Robot.feedSolenoid.feed(Value.kOff);
    }
}","@java.lang.Override
protected void execute() {
    Robot.feedSolenoid.feed(Value.kReverse);
}",-2,-2
1409,"protected javax.ws.rs.core.Response build(javax.ws.rs.core.Response.Status status, java.lang.Object entity, java.lang.String path) {
    return javax.ws.rs.core.Response.status(status).header(de.hwrberlin.it2014.sweproject.rest.Resource.ALLOW_ORIGIN_HEADER, de.hwrberlin.it2014.sweproject.rest.Resource.WILDCARD).entity(createEntity(path, status, entity)).build();
}","protected javax.ws.rs.core.Response build(javax.ws.rs.core.Response.Status status, java.lang.Object entity, java.lang.String path) {
    return javax.ws.rs.core.Response.status(status).entity(createEntity(path, status, entity)).build();
}",-2,-2
21829,"public static void delay(java.lang.Runnable runnable, eu.matejkormuth.rpgdavid.starving.Time delay) {
    org.bukkit.Bukkit.getScheduler().scheduleSyncDelayedTask(eu.matejkormuth.rpgdavid.starving.Starving.getInstance().getPlugin(), runnable, delay.toLongTicks());
}","public static int delay(java.lang.Runnable runnable, eu.matejkormuth.rpgdavid.starving.Time delay) {
    return org.bukkit.Bukkit.getScheduler().scheduleSyncDelayedTask(eu.matejkormuth.rpgdavid.starving.Starving.getInstance().getPlugin(), runnable, delay.toLongTicks());
}",-2,-2
26975,"@org.junit.Test
public void read_extraValuesInFile_extraValuesIgnored() throws seedu.jobs.commons.exceptions.DataConversionException {
    seedu.jobs.commons.core.Config expected = getTypicalConfig();
    seedu.jobs.commons.core.Config actual = read(""ExtraValuesConfig.json"").get();
    org.junit.Assert.assertEquals(expected, actual);
}","@org.junit.Test
public void read_extraValuesInFile_extraValuesIgnored() throws seedu.jobs.commons.exceptions.DataConversionException {
    seedu.jobs.commons.core.Config expected = getTypicalConfig();
    seedu.jobs.commons.core.Config actual = read(""ExtraValuesConfig.json"").get();
    java.lang.System.out.println(actual);
    java.lang.System.out.println(expected);
    org.junit.Assert.assertEquals(expected, actual);
}",-2,-2
36898,"public static void test_044() throws com.android.uiautomator.core.UiObjectNotFoundException {
    framework.common.PhoneCommon.Makecall(""10086"", 1);
    check(testcase.Object_ResourceId, testcase.Operation_checkExist, ""com.android.dialer:id/floating_end_call_action_button"");
    excute(testcase.Object_ResourceId, testcase.Operation_ClickWait, ""com.android.dialer:id/floating_end_call_action_button"");
}","public static void test_044() throws com.android.uiautomator.core.UiObjectNotFoundException {
    try {
        framework.common.PhoneCommon.Makecall(""10086"", 1);
        check(testcase.Object_ResourceId, testcase.Operation_checkExist, ""com.android.dialer:id/floating_end_call_action_button"");
    } finally {
        excute(testcase.Object_ResourceId, testcase.Operation_ClickWait, ""com.android.dialer:id/floating_end_call_action_button"");
    }
}",2,2
